Model,FC Metric,accuracy_mean,accuracy_err,balanced_accuracy_mean,balanced_accuracy_err,precision_macro_mean,precision_macro_err,recall_macro_mean,recall_macro_err,f1_macro_mean,f1_macro_err,precision_micro_mean,precision_micro_err,recall_micro_mean,recall_micro_err,f1_micro_mean,f1_micro_err,precision_weighted_mean,precision_weighted_err,recall_weighted_mean,recall_weighted_err,f1_weighted_mean,f1_weighted_err,jaccard_macro_mean,jaccard_macro_err,jaccard_micro_mean,jaccard_micro_err,jaccard_weighted_mean,jaccard_weighted_err,auc_macro_mean,auc_macro_err,auc_micro_mean,auc_micro_err,auc_weighted_mean,auc_weighted_err,hamming_loss_mean,hamming_loss_err
MLP,iCOH,0.921648241450651,0.0364875988803699,0.8786233900933866,0.05545173127834546,0.8790276332195984,0.053873308880491466,0.8786233900933866,0.05545173127834546,0.8751662310443838,0.05516464807487531,0.921648241450651,0.0364875988803699,0.921648241450651,0.0364875988803699,0.921648241450651,0.0364875988803699,0.9257655850198568,0.03325145209395908,0.921648241450651,0.0364875988803699,0.9216550189453101,0.03532809549708338,0.7870422616909344,0.08182381849842002,0.8553140080487908,0.061333397002962364,0.8642403261361951,0.051763208131734184,0.9846233455326692,0.011211357696587765,0.9895955439698543,0.007207782068919921,0.9898843844803586,0.0074419880921905435,0.07835175854934892,0.036487598880369926
MLP,PDC,0.9470933917488134,0.02588127053669209,0.9122190665675786,0.04860753609169055,0.9128556610873995,0.04943826342658075,0.9122190665675786,0.04860753609169055,0.9094705018636257,0.047873004069927894,0.9470933917488134,0.02588127053669209,0.9470933917488134,0.02588127053669209,0.9470933917488134,0.02588127053669209,0.9503549975476332,0.028050127417763138,0.9470933917488134,0.02588127053669209,0.9470262801432855,0.027503493476842,0.8410010953968812,0.07469472815301392,0.8999839640907069,0.046051379821044014,0.9065758886848052,0.04429142776351558,0.9859051669110117,0.011973673924515316,0.9923815280853685,0.0067576529705842825,0.9916448912920571,0.007610464467450173,0.052906608251186565,0.025881270536692216
MLP,PLV,0.6037965194109773,0.06440258001703791,0.33940870033801374,0.05937110023683467,0.33581980620953067,0.06493423055010067,0.33940870033801374,0.05937110023683467,0.3316628485308878,0.05720982096854288,0.6037965194109773,0.06440258001703791,0.6037965194109773,0.06440258001703791,0.6037965194109773,0.06440258001703791,0.6003998498814977,0.06778715817659409,0.6037965194109773,0.06440258001703791,0.5985011385622294,0.0627794030052683,0.2589358205176439,0.03859286582707483,0.43351331170912333,0.06421870589999468,0.5486339185206939,0.061790224891597745,0.8159334918138084,0.036643606280636454,0.8986167756757499,0.03111301075380324,0.88929745442552,0.035390217470102625,0.39620348058902277,0.06440258001703786
MLP,COH,0.5941030546428137,0.06076972130948033,0.33509626661411995,0.06059540263008717,0.33545773262138406,0.06237789657599402,0.33509626661411995,0.06059540263008717,0.3314158011675527,0.06293642345680284,0.5941030546428137,0.06076972130948033,0.5941030546428137,0.06076972130948033,0.5941030546428137,0.06076972130948033,0.6017994832968461,0.06512927733841467,0.5941030546428137,0.06076972130948033,0.5956409639352277,0.06201490380866215,0.25713278961108543,0.0414736458243985,0.423621938376506,0.06286454810998049,0.5440080246712087,0.06355063383034937,0.8159731745914378,0.03485785420245713,0.8961476484320455,0.029688144299814145,0.8893149261832223,0.032037330752693105,0.4058969453571863,0.060769721309480385
MLP,SpcG,0.7326312766216381,0.05524751125714977,0.5514275845158966,0.0776349154841035,0.5535781739137084,0.08053343449777206,0.5514275845158966,0.0776349154841035,0.5459633629637248,0.07935138415257703,0.7326312766216381,0.05524751125714977,0.7326312766216381,0.05524751125714977,0.7326312766216381,0.05524751125714977,0.7391883308766105,0.059926797203312177,0.7326312766216381,0.05524751125714977,0.7321382511015827,0.05788549034862922,0.41773803001846543,0.06982733843660882,0.5792361579054053,0.07076384209459474,0.6543484964990244,0.058656381572952165,0.9132659665309232,0.024476256291505627,0.9530454186809304,0.01779619921352904,0.947875084471707,0.020342988233845616,0.26736872337836187,0.055247511257149745
LogReg,SpcG,0.6256073506145795,0.0619709869782159,0.3676934148724523,0.06161724133823249,0.35176999694979705,0.09407591689883416,0.3676934148724523,0.06161724133823249,0.34901661375628185,0.059703263649567684,0.6256073506145795,0.0619709869782159,0.6256073506145795,0.0619709869782159,0.6256073506145795,0.0619709869782159,0.6181958122105573,0.06964074042762569,0.6256073506145795,0.0619709869782159,0.6158825639185486,0.06162942470464072,0.2741959125695426,0.04132200787227025,0.4562327851051879,0.06450454208375217,0.5685625107741885,0.058933541102957454,0.8423209947907431,0.03279109501548416,0.9161613198642535,0.024076838688863234,0.9057683469011641,0.02983337250024376,0.3743926493854205,0.06197098697821585
LogReg,PLV,0.604608932700499,0.05599712790556166,0.33910557504547995,0.05957187677399972,0.33860394586208525,0.07165936478289953,0.33910557504547995,0.05957187677399972,0.3301810031696236,0.058546313785296455,0.604608932700499,0.05599712790556166,0.604608932700499,0.05599712790556166,0.604608932700499,0.05599712790556166,0.5917390167307035,0.06864118378501427,0.604608932700499,0.05599712790556166,0.592850740331574,0.061007982881636,0.25529451397349906,0.03773719055642044,0.434227532194835,0.058985137488422934,0.5374352433363838,0.06332738748270861,0.8170948425947447,0.03383407337262201,0.8985797850138648,0.029112751037739915,0.8880686259138788,0.03239698386416889,0.395391067299501,0.055997127905561606
LogReg,COH,0.6042033345503225,0.06246333211634414,0.33756580763782623,0.0584355986168793,0.3374193201874486,0.06805004589886254,0.33756580763782623,0.0584355986168793,0.3293073970089049,0.0627429283641946,0.6042033345503225,0.06246333211634414,0.6042033345503225,0.06246333211634414,0.6042033345503225,0.06246333211634414,0.5924185198473072,0.071025946686194,0.6042033345503225,0.06246333211634414,0.5933431316070155,0.06556449259806907,0.2552778024453611,0.04040208122451011,0.4338884815416141,0.06611151845838592,0.5392217717761354,0.0673704703099276,0.8161833630502093,0.036370506921352797,0.8980029442468337,0.028371739324918988,0.887470768199255,0.0318682691227965,0.3957966654496775,0.062463332116344195
LogReg,PDC,0.6441878057685286,0.061235998539612924,0.40371454080180136,0.06483170796259585,0.40339153639592024,0.06739231802284468,0.40371454080180136,0.06483170796259585,0.39798446494455264,0.0647130043429533,0.6441878057685286,0.061235998539612924,0.6441878057685286,0.061235998539612924,0.6441878057685286,0.061235998539612924,0.6484160707403251,0.06109646224424614,0.6441878057685286,0.061235998539612924,0.6430367620232624,0.060407669169254774,0.30466743673885494,0.04477121455079858,0.4761180264975488,0.06473232000545937,0.5856374390282214,0.058345224483160596,0.8566707489665207,0.030682882061945027,0.9226860413368433,0.023583011033812995,0.9139363428510591,0.028497644902025998,0.35581219423147137,0.06123599853961287
LogReg,iCOH,0.47819428015090665,0.06001246196908849,0.1594088864153674,0.006152181434524506,0.08151318441386184,0.010084612985290412,0.1594088864153674,0.006152181434524506,0.10772284519104573,0.009432246900447458,0.47819428015090665,0.06001246196908849,0.47819428015090665,0.06001246196908849,0.47819428015090665,0.06001246196908849,0.24592261359575052,0.06065668146455716,0.47819428015090665,0.06001246196908849,0.3243713345778312,0.06637073175478636,0.07973178083113434,0.010034811134164656,0.31499511475860165,0.05062729866664761,0.24050636859195948,0.060000518460382096,0.5852639151306884,0.044594318413249456,0.7441445022057096,0.0421456041340843,0.5648161794279564,0.05176894299012347,0.5218057198490933,0.06001246196908849
