Model,FC Metric,accuracy_mean,accuracy_err,balanced_accuracy_mean,balanced_accuracy_err,precision_macro_mean,precision_macro_err,recall_macro_mean,recall_macro_err,f1_macro_mean,f1_macro_err,precision_micro_mean,precision_micro_err,recall_micro_mean,recall_micro_err,f1_micro_mean,f1_micro_err,jaccard_macro_mean,jaccard_macro_err,jaccard_micro_mean,jaccard_micro_err,auc_macro_mean,auc_macro_err,auc_micro_mean,auc_micro_err,hamming_loss_mean,hamming_loss_err
GCN,COH,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
GCN,iCOH,0.9932055052790347,0.012813348416289672,0.9934454019595815,0.02201683053101,0.9931145740207505,0.021686002592179232,0.9934454019595815,0.02201683053101,0.9928510937620671,0.023811411222384726,0.9932055052790347,0.012813348416289672,0.9932055052790347,0.012813348416289672,0.9932055052790347,0.012813348416289672,0.9865671188374749,0.043984368254724404,0.9867434147962449,0.02520495325778338,0.9999993650793652,6.349206348454928e-07,0.9999411095371262,0.0003109320223333434,0.006794494720965309,0.012813348416289592
GCN,PDC,0.9970916289592759,0.016699472096530887,0.9972120185696656,0.017212018569665477,0.9970688482106129,0.01706884821061283,0.9972120185696656,0.017212018569665477,0.9969667420767155,0.01825525748287793,0.9970916289592759,0.016699472096530887,0.9970916289592759,0.016699472096530887,0.9970916289592759,0.016699472096530887,0.9942808667802785,0.034665482164893846,0.9943065678556245,0.03276810631716298,1.0,0.0,0.9999804690077099,7.658588583370207e-05,0.0029083710407239822,0.01669947209653092
GCN,PLV,0.9941764705882352,0.01378431372549016,0.9940598849842968,0.02263131355572523,0.9942303068663363,0.02280173543776476,0.9940598849842968,0.02263131355572523,0.9938403271068532,0.01976480263132885,0.9941764705882352,0.01378431372549016,0.9941764705882352,0.01378431372549016,0.9941764705882352,0.01378431372549016,0.9884222360809126,0.03700099065966722,0.9886357171130755,0.027097255574613954,0.9996800246621551,0.0025794811838942833,0.9996014264114395,0.003392106884812174,0.005823529411764706,0.013784313725490195
GCN,Spectral Granger,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SVC,iCOH,0.974761689291101,0.03358521870286568,0.975013468383182,0.0416917900615037,0.9748938541953402,0.04156052086200701,0.975013468383182,0.0416917900615037,0.9735448272715044,0.04200000934433368,0.974761689291101,0.03358521870286568,0.974761689291101,0.03358521870286568,0.974761689291101,0.03358521870286568,0.9510525677220956,0.07480689672642449,0.9515627111496028,0.06267382226071394,0.9959435016768786,0.01720114968605102,0.9957918984988705,0.015784209148620665,0.025238310708898943,0.033585218702865766
SVC,PDC,0.6096983408748115,0.10969834087481145,0.6086198171857382,0.11345994927587028,0.6109356689553772,0.11497296499267329,0.6086198171857382,0.11345994927587028,0.5964139034165363,0.11288794748840653,0.6096983408748115,0.10969834087481145,0.6096983408748115,0.10969834087481145,0.6096983408748115,0.10969834087481145,0.43800900745356847,0.11346453289497188,0.44188881133066993,0.11034999463947937,0.8680268426498271,0.05888366761201225,0.8676195938877059,0.05716365224373199,0.39030165912518855,0.10969834087481145
SVC,PLV,0.18834539969834088,0.09030618401206637,0.18236746920777877,0.07243411809380848,0.07612588901601634,0.037595311281270916,0.18236746920777877,0.07243411809380848,0.10548166634410973,0.04792755378999717,0.18834539969834088,0.09030618401206637,0.18834539969834088,0.09030618401206637,0.18834539969834088,0.09030618401206637,0.06220109815231939,0.032897306704149976,0.10502174782758626,0.054069161263322826,0.5265601293592675,0.08567571820359487,0.5210627300193484,0.08499199524847079,0.8116546003016593,0.09030618401206625
SVC,COH,0.1815599547511312,0.08767081447963801,0.17644643807259133,0.07401199238583903,0.0726403446891196,0.03505196300318811,0.17644643807259133,0.07401199238583903,0.10114084048877556,0.04436999542453712,0.1815599547511312,0.08767081447963801,0.1815599547511312,0.08767081447963801,0.1815599547511312,0.08767081447963801,0.05915372188617115,0.030298288166861913,0.10072112483673828,0.05483443071881727,0.5274795631921408,0.08168062932704195,0.523513742260885,0.08116444492360686,0.8184400452488689,0.0876708144796382
SVC,Spectral Granger,0.326211915535445,0.11052564102564105,0.3246961451087612,0.10774180582918974,0.32244759914936616,0.11877220591514939,0.3246961451087612,0.10774180582918974,0.3097737758256995,0.10661753946946312,0.326211915535445,0.11052564102564105,0.326211915535445,0.11052564102564105,0.326211915535445,0.11052564102564105,0.19198390352860073,0.07734616183087634,0.1967724713565404,0.07822752864345961,0.6403187054541591,0.0854999786553221,0.6414451778688328,0.08293463792800437,0.6737880844645551,0.110525641025641
LogReg,iCOH,0.2873887631975867,0.09722662141779792,0.28703770639920795,0.10778538717388564,0.2874690835927059,0.10785306647944415,0.28703770639920795,0.10778538717388564,0.27766090342855115,0.10235269805947489,0.2873887631975867,0.09722662141779792,0.2873887631975867,0.09722662141779792,0.2873887631975867,0.09722662141779792,0.16785476672915234,0.07218319805803841,0.16925522613457286,0.06884001196066522,0.604095364126763,0.07937736013407093,0.6045501185536286,0.07871373265630655,0.7126112368024132,0.09722662141779781
LogReg,PDC,0.36115460030165913,0.11115460030165913,0.36176120086999347,0.11836761475882213,0.36189361510436585,0.11711683632758707,0.36176120086999347,0.11836761475882213,0.34969072274290836,0.11444014336617914,0.36115460030165913,0.11115460030165913,0.36115460030165913,0.11115460030165913,0.36115460030165913,0.11115460030165913,0.22056141690790174,0.08926662841279068,0.2225118876098568,0.08518042008245091,0.6556685653847892,0.0853902382256091,0.6563408624413914,0.07896739547716058,0.6388453996983408,0.11115460030165925
LogReg,PLV,0.1961395173453997,0.09232202111613874,0.19625767705634578,0.09594742339875467,0.195920806900358,0.09637375964420852,0.19625767705634578,0.09594742339875467,0.1885884295722103,0.0894218020641083,0.1961395173453997,0.09232202111613874,0.1961395173453997,0.09232202111613874,0.1961395173453997,0.09232202111613874,0.10879280517107678,0.05685272040757566,0.10974713871123203,0.0587921871314646,0.4994734283734641,0.08160868859528081,0.5005077980860229,0.07846819793223586,0.8038604826546003,0.09232202111613874
